Destino,web_scraper_order,Fuente,Fecha de Publicación,Título del Comentario,Fecha de Viaje,Tipo de Viaje,Comentario,País,Residente/Extranjero,Comunidad o Ciudad Autónoma
Tour misterios y leyendas de Sevilla,1776039717-18,Civitatis,28/02/2025,No especificado,No especificado,Viajó con hijos pequeños,Todo genial. Nuestra guía Laura fue fantástica explicando y contando todas las leyendas y curiosidades del Barrio de Santa Cruz. Para repetir sin dudarlo. Un 10. Gracias Laura!,España,Residente,Andalucía
Barrio Santa Cruz,1776039231-6,Civitatis,28/01/2025,No especificado,No especificado,Viajó en pareja,Un tour muy dinámico y bien explicado por un barrio precioso.,España,Residente,Islas Canarias
Isla Mágica,1775652240-9,TripAdvisor,8/8/2025,No especificado,25-Aug,No especificado,"Experiencia pirata no sirve solo es publicidad engañosa , una ESTAFA",España,Residente,Islas Canarias
Tour misterios y leyendas de Sevilla,1776039567-18,Civitatis,22/03/2026,No especificado,No especificado,Viajó con amigos,"Aprendimos muchas curiosidades, fue una visita muy entretenida con mucha participación de todos los asistentes. La guía genial",España,Residente,Castilla-La Mancha
Free tour por Sevilla,1775828897-13,Civitatis,21/02/2026,No especificado,No especificado,Viajó con amigos,"José es un tío excelente, muy recomendado. Para mí, lo mejor de Sevilla",España,Residente,Cataluña
Paseo por el río Guadalquivir en barco con comida,1775815503-5,Civitatis,15/04/2025,No especificado,No especificado,Viajó en pareja,"Todo fenomenal, tanto el paseo como la comida y la tripulación... 100/100
 Muy recomendable.",España,Residente,Galicia
Tour misterios y leyendas de Sevilla,1776039786-15,Civitatis,14/02/2026,No especificado,No especificado,Viajó en pareja,"Emilio es muy buen guía, preocupado por el bienestar de los turistas y muy agradable. Muy recomendable en todos los aspectos.",España,Residente,No especificado
Catedral de Sevilla,1776037931-10,Civitatis,21/06/2025,No especificado,No especificado,Viajó con amigos,"Nada más reservarlo a través de la web de civitatis y cobrarnos los 60€ de la visita. Desde la catedral de Sevilla nos informan que es imposible realizar el tour reservado ya que no hay huecos disponibles y que van a informar a civitatis para cancelarlo y que nos devuelvan el dinero.

Por lo tanto, no pudimos realizar la visita y tampoco se nos ha devuelto el importe de la misma (no siendo una cancelación por nuestra parte ni que no nos presentáramos a la visita)",España,Residente,No especificado
Paseo por el río Guadalquivir en barco con guía,1775815626-16,Civitatis,18/05/2025,No especificado,No especificado,No especificado,El guía era muy amable y te explica todo lo que veías con detalle. También algunas anécdotas divertidas.,España,Residente,Principado de Asturias
Archivo de Indias,1776038425-18,Civitatis,15/01/2026,No especificado,No especificado,Viajó en pareja,"Vistamos el Archivo de Indias de Sevilla con Rubén y muy completo. Una explicación muy rica, en un bonito edificio y que se nos pasó volando. Para repetir!",España,Residente,Andalucía
